Draw,Draw Date,1,2,3,4,5,6,Bonus Ball,2nd Bonus Ball,Power Ball
2414,Saturday 21 September 2024,25,19,12,21,36,10,34,,6
2413,Wednesday 18 September 2024,1,8,34,5,37,19,13,,3
2412,Saturday 14 September 2024,22,18,15,31,3,32,27,,10
2411,Wednesday 11 September 2024,22,15,10,3,26,19,4,,8
2410,Saturday 07 September 2024,40,4,9,33,2,8,17,,8
2409,Wednesday 04 September 2024,9,36,16,35,31,28,24,,2
2408,Saturday 31 August 2024,16,39,14,8,34,24,4,,2
2407,Wednesday 28 August 2024,37,31,1,4,35,20,13,,9
2406,Saturday 24 August 2024,5,10,25,38,14,19,34,,3
2405,Wednesday 21 August 2024,7,38,30,17,12,16,6,,6
2404,Saturday 17 August 2024,36,7,37,33,34,22,32,,8
2403,Wednesday 14 August 2024,12,29,32,25,5,24,15,,10
2402,Saturday 10 August 2024,24,17,25,30,6,3,36,,1
2401,Wednesday 07 August 2024,40,30,29,15,31,13,12,,3
2400,Saturday 03 August 2024,17,28,29,27,19,1,24,,1
2399,Wednesday 31 July 2024,8,17,25,36,33,31,18,,4
2398,Saturday 27 July 2024,14,38,34,1,10,12,30,,8
2397,Wednesday 24 July 2024,38,29,1,18,31,11,24,,10
2396,Saturday 20 July 2024,25,30,10,4,40,2,11,,9
2395,Wednesday 17 July 2024,13,6,34,7,33,31,20,,5
2394,Saturday 13 July 2024,11,19,15,31,13,38,7,,8
2393,Wednesday 10 July 2024,2,7,40,23,30,16,36,,10
2392,Saturday 06 July 2024,16,9,12,17,24,28,18,,3
2391,Wednesday 03 July 2024,28,34,35,37,27,12,25,,2
2390,Saturday 29 June 2024,32,7,34,8,1,35,27,,9
2389,Wednesday 26 June 2024,36,34,12,32,39,16,3,,1
2388,Saturday 22 June 2024,30,1,10,31,17,3,25,,4
2387,Wednesday 19 June 2024,2,16,26,18,8,23,20,,7
2386,Saturday 15 June 2024,3,38,40,8,20,13,35,,2
2385,Wednesday 12 June 2024,16,19,7,30,9,35,27,,4
2384,Saturday 08 June 2024,22,35,10,30,21,37,5,,2
2383,Wednesday 05 June 2024,13,15,23,22,33,2,32,,3
2382,Saturday 01 June 2024,34,39,15,20,33,38,16,,7
2381,Wednesday 29 May 2024,10,27,8,16,35,29,19,,3
2380,Saturday 25 May 2024,10,28,7,37,33,39,4,,4
2379,Wednesday 22 May 2024,21,10,19,36,39,29,14,,10
2378,Saturday 18 May 2024,20,40,13,31,21,22,7,,7
2377,Wednesday 15 May 2024,13,28,6,37,21,11,29,,3
2376,Saturday 11 May 2024,11,19,32,38,35,31,39,,9
2375,Wednesday 08 May 2024,12,28,17,13,6,29,19,,1
2374,Saturday 04 May 2024,11,13,20,15,38,30,25,,8
2373,Wednesday 01 May 2024,14,17,34,12,25,20,35,,10
2372,Saturday 27 April 2024,16,21,6,5,4,12,18,,10
2371,Wednesday 24 April 2024,37,27,21,34,19,30,20,,5
2370,Saturday 20 April 2024,5,30,26,23,33,32,19,,10
2369,Wednesday 17 April 2024,1,2,14,17,15,19,34,,9
2368,Saturday 13 April 2024,14,20,33,31,11,36,26,,2
2367,Wednesday 10 April 2024,8,21,24,12,17,11,9,,10
2366,Saturday 06 April 2024,2,21,30,10,5,6,36,,3
2365,Wednesday 03 April 2024,17,16,29,9,30,11,25,,2
2364,Saturday 30 March 2024,30,3,40,29,32,20,14,,5
2363,Wednesday 27 March 2024,38,8,6,25,15,12,7,,8
2362,Saturday 23 March 2024,37,11,7,28,16,9,15,,4
2361,Wednesday 20 March 2024,1,21,18,32,23,37,36,,8
2360,Saturday 16 March 2024,17,33,20,7,38,5,39,,10
2359,Wednesday 13 March 2024,15,5,24,36,30,23,34,,8
2358,Saturday 09 March 2024,15,34,22,24,36,12,23,,5
2357,Wednesday 06 March 2024,17,27,38,35,33,13,19,,8
2356,Saturday 02 March 2024,28,40,5,29,1,6,17,,1
2355,Wednesday 28 February 2024,5,30,26,28,13,34,15,,2
2354,Saturday 24 February 2024,16,35,6,36,13,38,7,,3
2353,Wednesday 21 February 2024,28,1,20,22,34,24,29,,2
2352,Saturday 17 February 2024,22,6,10,34,5,24,26,,7
2351,Wednesday 14 February 2024,40,32,27,22,26,25,35,,1
2350,Saturday 10 February 2024,10,33,40,5,28,17,3,,3
2349,Wednesday 07 February 2024,3,38,24,2,37,27,26,,9
2348,Saturday 03 February 2024,17,35,11,16,1,20,26,,1
2347,Wednesday 31 January 2024,40,10,6,36,2,25,38,,10
2346,Saturday 27 January 2024,8,20,25,32,11,13,7,,1
2345,Wednesday 24 January 2024,40,12,26,13,3,5,1,,8
2344,Saturday 20 January 2024,23,33,18,21,17,3,9,,7
2343,Wednesday 17 January 2024,25,1,12,18,40,3,30,,10
2342,Saturday 13 January 2024,5,15,27,9,12,7,21,,2
2341,Wednesday 10 January 2024,4,13,34,28,12,5,24,,4
2340,Saturday 06 January 2024,29,25,16,31,8,37,12,,9
2339,Wednesday 03 January 2024,35,13,15,23,22,10,21,,9
2338,Saturday 30 December 2023,17,10,25,38,15,33,30,,7
2337,Wednesday 27 December 2023,13,4,21,7,16,9,6,,6
2336,Saturday 23 December 2023,38,30,14,12,35,40,23,,2
2335,Wednesday 20 December 2023,15,38,40,2,37,26,20,,7
2334,Saturday 16 December 2023,7,37,1,31,35,23,5,,7
2333,Wednesday 13 December 2023,34,40,24,10,21,4,31,,4
2332,Saturday 09 December 2023,16,4,30,27,22,24,5,,3
2331,Wednesday 06 December 2023,40,27,34,36,23,17,9,,1
2330,Saturday 02 December 2023,18,34,1,33,36,16,15,,8
2329,Wednesday 29 November 2023,14,36,5,2,3,9,25,,9
2328,Saturday 25 November 2023,13,35,37,31,16,33,19,,9
2327,Wednesday 22 November 2023,16,19,3,34,25,9,1,,5
2326,Saturday 18 November 2023,12,33,11,27,7,39,24,,5
2325,Wednesday 15 November 2023,36,17,7,12,19,34,21,,10
2324,Saturday 11 November 2023,19,23,5,40,39,31,25,,1
2323,Wednesday 08 November 2023,2,25,20,11,39,3,14,,10
2322,Saturday 04 November 2023,12,10,23,25,24,11,6,,10
2321,Wednesday 01 November 2023,6,28,13,2,32,26,16,,8
2320,Saturday 28 October 2023,35,14,2,36,24,22,9,,6
2319,Wednesday 25 October 2023,10,21,9,26,35,20,6,,2
2318,Saturday 21 October 2023,40,29,13,26,33,8,23,,4
2317,Wednesday 18 October 2023,36,11,40,13,6,28,32,,1
2316,Saturday 14 October 2023,9,36,20,6,12,4,5,,1
2315,Wednesday 11 October 2023,1,14,7,12,19,31,30,,10
2314,Saturday 07 October 2023,28,34,25,38,36,5,15,,1
2313,Wednesday 04 October 2023,26,8,14,19,23,13,6,,3
2312,Saturday 30 September 2023,1,27,31,22,29,21,3,,3
2311,Wednesday 27 September 2023,27,3,9,19,6,11,23,,6
2310,Saturday 23 September 2023,15,37,28,25,27,40,33,,5
2309,Wednesday 20 September 2023,12,37,27,29,38,4,30,,10
2308,Saturday 16 September 2023,34,13,35,32,5,20,6,,6
2307,Wednesday 13 September 2023,40,21,33,16,1,2,39,,9
2306,Saturday 09 September 2023,37,8,4,24,17,32,12,,1
2305,Wednesday 06 September 2023,25,22,32,26,36,13,21,,4
2304,Saturday 02 September 2023,39,6,36,5,1,20,2,,8
2303,Wednesday 30 August 2023,17,30,40,9,22,36,20,,5
2302,Saturday 26 August 2023,23,36,22,26,30,39,28,,2
2301,Wednesday 23 August 2023,1,14,17,24,15,18,8,,6
2300,Saturday 19 August 2023,26,28,5,18,39,31,16,,9
2299,Wednesday 16 August 2023,17,29,7,19,38,36,20,,5
2298,Saturday 12 August 2023,23,15,31,19,20,33,8,,1
2297,Wednesday 09 August 2023,13,40,35,14,4,34,15,,7
2296,Saturday 05 August 2023,24,18,28,32,26,23,16,,1
2295,Wednesday 02 August 2023,27,23,28,32,6,25,17,,9
2294,Saturday 29 July 2023,13,34,4,18,21,10,40,,3
2293,Wednesday 26 July 2023,25,23,17,19,27,37,13,,8
2292,Saturday 22 July 2023,22,3,25,24,4,12,10,,9
2291,Wednesday 19 July 2023,38,6,28,23,20,35,2,,2
2290,Saturday 15 July 2023,7,34,24,15,21,11,6,,1
2289,Wednesday 12 July 2023,34,29,37,22,8,36,11,,6
2288,Saturday 08 July 2023,8,25,32,10,18,6,2,,4
2287,Wednesday 05 July 2023,36,26,7,38,29,4,23,,5
2286,Saturday 01 July 2023,30,24,34,25,23,9,10,,5
2285,Wednesday 28 June 2023,33,31,15,5,4,8,29,,10
2284,Saturday 24 June 2023,23,21,6,22,7,40,29,,10
2283,Wednesday 21 June 2023,28,16,8,10,32,4,40,,10
2282,Saturday 17 June 2023,2,13,10,17,19,21,30,,1
2281,Wednesday 14 June 2023,9,3,22,37,2,18,23,,8
2280,Saturday 10 June 2023,2,23,10,15,24,40,27,,1
2279,Wednesday 07 June 2023,24,37,15,34,6,30,29,,7
2278,Saturday 03 June 2023,3,6,19,29,25,4,18,,7
2277,Wednesday 31 May 2023,3,11,25,21,14,18,23,,8
2276,Saturday 27 May 2023,17,15,21,4,29,22,2,,3
2275,Wednesday 24 May 2023,5,33,28,30,38,17,34,,8
2274,Saturday 20 May 2023,37,32,40,31,14,38,22,,1
2273,Wednesday 17 May 2023,12,13,20,23,2,38,36,,6
2272,Saturday 13 May 2023,18,19,34,16,7,17,26,,3
2271,Wednesday 10 May 2023,20,31,4,38,22,35,29,,6
2270,Saturday 06 May 2023,25,15,10,18,8,27,21,,1
2269,Wednesday 03 May 2023,11,33,39,20,8,30,18,,10
2268,Saturday 29 April 2023,25,40,36,27,4,8,19,,3
2267,Wednesday 26 April 2023,23,15,40,36,29,3,4,,7
2266,Saturday 22 April 2023,34,12,21,13,1,18,6,,9
2265,Wednesday 19 April 2023,25,27,13,2,33,3,22,,3
2264,Saturday 15 April 2023,19,35,2,23,1,29,36,,4
2263,Wednesday 12 April 2023,12,10,28,19,1,35,34,,5
2262,Saturday 08 April 2023,31,24,12,36,34,37,39,,4
2261,Wednesday 05 April 2023,17,28,14,25,5,38,13,,7
2260,Saturday 01 April 2023,20,33,18,10,7,40,17,,10
2259,Wednesday 29 March 2023,35,23,24,14,37,36,29,,9
2258,Saturday 25 March 2023,19,5,28,8,4,31,38,,7
2257,Wednesday 22 March 2023,33,29,38,7,16,32,9,,1
2256,Saturday 18 March 2023,37,17,4,27,38,11,26,,3
2255,Wednesday 15 March 2023,33,4,5,3,39,24,16,,8
2254,Saturday 11 March 2023,37,19,6,39,26,28,27,,5
2253,Wednesday 08 March 2023,1,17,2,39,23,9,37,,5
2252,Saturday 04 March 2023,11,19,21,25,35,34,9,,1
2251,Wednesday 01 March 2023,15,34,26,35,17,14,30,,1
2250,Saturday 25 February 2023,28,18,22,32,30,14,23,,5
2249,Wednesday 22 February 2023,31,25,23,30,2,1,3,,1
2248,Saturday 18 February 2023,20,22,5,16,33,4,26,,7
2247,Wednesday 15 February 2023,24,7,28,39,27,26,37,,9
2246,Saturday 11 February 2023,36,28,32,14,5,34,10,,8
2245,Wednesday 08 February 2023,29,18,15,2,10,24,5,,4
2244,Saturday 04 February 2023,19,21,13,40,11,36,27,,5
2243,Wednesday 01 February 2023,11,31,39,3,1,9,24,,2
2242,Saturday 28 January 2023,27,16,17,13,28,22,3,,8
2241,Wednesday 25 January 2023,11,30,24,12,5,18,20,,7
2240,Saturday 21 January 2023,37,35,28,4,40,19,30,,7
2239,Wednesday 18 January 2023,28,35,4,7,1,23,17,,7
2238,Saturday 14 January 2023,20,5,38,28,29,32,3,,9
2237,Wednesday 11 January 2023,18,22,24,33,9,10,4,,8
2236,Saturday 07 January 2023,1,7,15,24,30,3,22,,9
2235,Wednesday 04 January 2023,9,23,13,25,16,5,14,,1
2234,Saturday 31 December 2022,36,23,19,33,13,34,4,,8
2233,Wednesday 28 December 2022,33,1,37,27,3,11,26,,7
2232,Saturday 24 December 2022,30,4,3,2,31,19,24,,5
2231,Wednesday 21 December 2022,37,14,26,34,18,7,35,,1
2230,Saturday 17 December 2022,21,24,8,10,20,33,23,,10
2229,Wednesday 14 December 2022,9,31,26,33,32,22,15,,8
2228,Saturday 10 December 2022,5,36,19,24,7,9,15,,1
2227,Wednesday 07 December 2022,13,8,23,40,25,9,12,,7
2226,Saturday 03 December 2022,21,33,9,12,19,1,36,,10
2225,Wednesday 30 November 2022,21,8,12,28,10,4,5,,8
2224,Saturday 26 November 2022,5,31,38,3,27,29,21,,5
2223,Wednesday 23 November 2022,29,16,39,15,20,14,11,,7
2222,Saturday 19 November 2022,12,23,4,26,27,6,19,,9
2221,Wednesday 16 November 2022,24,2,40,34,23,13,19,,4
2220,Saturday 12 November 2022,40,22,26,25,13,37,6,,7
2219,Wednesday 09 November 2022,24,11,26,32,20,10,17,,8
2218,Saturday 05 November 2022,18,27,22,17,12,25,38,,3
2217,Wednesday 02 November 2022,24,22,28,31,20,12,4,,1
2216,Saturday 29 October 2022,17,33,20,32,26,39,9,,6
2215,Wednesday 26 October 2022,21,7,29,15,39,22,37,,2
2214,Saturday 22 October 2022,6,15,34,29,9,33,27,,6
2213,Wednesday 19 October 2022,25,30,17,12,32,10,23,,6
2212,Saturday 15 October 2022,33,2,15,10,4,8,17,,10
2211,Wednesday 12 October 2022,37,22,15,39,9,27,31,,1
2210,Saturday 08 October 2022,31,12,25,4,10,40,36,,1
2209,Wednesday 05 October 2022,16,2,34,8,9,25,21,,10
2208,Saturday 01 October 2022,29,31,4,32,33,16,3,,9
2207,Wednesday 28 September 2022,37,31,3,1,20,6,11,,8
2206,Saturday 24 September 2022,25,27,15,7,26,23,11,,10
2205,Wednesday 21 September 2022,28,8,27,24,13,35,40,,3
2204,Saturday 17 September 2022,38,9,3,37,34,12,18,,2
2203,Wednesday 14 September 2022,31,4,18,34,27,5,30,,8
2202,Saturday 10 September 2022,17,2,10,33,14,21,35,,2
2201,Wednesday 07 September 2022,19,12,38,21,26,5,37,,9
2200,Saturday 03 September 2022,39,16,19,12,38,24,6,,1
2199,Wednesday 31 August 2022,8,24,14,13,31,33,35,,4
2198,Saturday 27 August 2022,21,35,12,30,32,39,17,,6
2197,Wednesday 24 August 2022,30,18,24,34,29,6,31,,1
2196,Saturday 20 August 2022,13,6,28,31,33,38,15,,1
2195,Wednesday 17 August 2022,32,27,11,20,5,1,10,,1
2194,Saturday 13 August 2022,30,19,24,36,28,23,14,,6
2193,Wednesday 10 August 2022,20,2,29,1,32,33,4,,5
2192,Saturday 06 August 2022,13,38,37,29,21,39,2,,10
2191,Wednesday 03 August 2022,7,25,2,28,27,35,40,,7
2190,Saturday 30 July 2022,12,16,6,24,23,36,13,,10
2189,Wednesday 27 July 2022,15,32,19,13,28,20,10,,2
2188,Saturday 23 July 2022,11,7,1,8,33,26,4,,5
2187,Wednesday 20 July 2022,28,5,24,22,25,19,30,,10
2186,Saturday 16 July 2022,31,3,18,34,16,30,17,,8
2185,Wednesday 13 July 2022,15,9,40,3,6,2,8,,3
2184,Saturday 09 July 2022,32,38,23,22,24,2,25,,1
2183,Wednesday 06 July 2022,31,38,24,35,28,10,11,,1
2182,Saturday 02 July 2022,7,23,26,4,33,27,2,,1
2181,Wednesday 29 June 2022,25,27,28,29,10,7,18,,3
2180,Saturday 25 June 2022,33,39,4,37,20,40,29,,2
2179,Wednesday 22 June 2022,5,2,29,9,22,34,1,,7
2178,Saturday 18 June 2022,13,6,33,38,17,15,3,,4
2177,Wednesday 15 June 2022,21,25,9,12,22,35,8,,2
2176,Saturday 11 June 2022,3,4,24,5,40,21,33,,6
2175,Wednesday 08 June 2022,32,11,10,19,17,36,21,,9
2174,Saturday 04 June 2022,10,30,31,5,36,19,34,,7
2173,Wednesday 01 June 2022,2,35,5,9,25,6,13,,2
2172,Saturday 28 May 2022,13,26,30,31,10,17,12,,7
2171,Wednesday 25 May 2022,1,20,14,33,29,3,25,,7
2170,Saturday 21 May 2022,12,19,39,28,15,40,17,,4
2169,Wednesday 18 May 2022,1,37,29,23,31,7,22,,4
2168,Saturday 14 May 2022,35,3,18,7,5,31,4,,6
2167,Wednesday 11 May 2022,28,22,25,37,33,21,2,,1
2166,Saturday 07 May 2022,14,31,39,16,24,5,30,,8
2165,Wednesday 04 May 2022,19,21,28,5,26,31,34,,5
2164,Saturday 30 April 2022,38,15,29,22,2,6,27,,8
2163,Wednesday 27 April 2022,12,19,16,37,24,25,1,,5
2162,Saturday 23 April 2022,3,32,23,19,13,30,25,,5
2161,Wednesday 20 April 2022,19,34,3,17,4,15,11,,5
2160,Saturday 16 April 2022,23,22,4,30,21,37,7,,10
2159,Wednesday 13 April 2022,4,39,32,40,5,31,37,,10
2158,Saturday 09 April 2022,36,35,28,13,4,27,21,,7
2157,Wednesday 06 April 2022,27,10,37,7,38,31,21,,6
2156,Saturday 02 April 2022,30,17,9,2,38,18,37,,8
2155,Wednesday 30 March 2022,15,5,22,4,40,6,39,,1
2154,Saturday 26 March 2022,25,23,5,11,20,2,35,,4
2153,Wednesday 23 March 2022,23,16,24,1,5,39,38,,10
2152,Saturday 19 March 2022,30,17,40,23,31,20,9,,9
2151,Wednesday 16 March 2022,15,14,4,35,11,24,22,,6
2150,Saturday 12 March 2022,5,28,26,22,23,34,32,,5
2149,Wednesday 09 March 2022,5,39,15,16,28,13,9,,3
2148,Saturday 05 March 2022,25,27,12,18,6,5,39,,3
2147,Wednesday 02 March 2022,3,32,38,16,6,23,11,,8
2146,Saturday 26 February 2022,1,21,20,27,36,26,12,,7
2145,Wednesday 23 February 2022,10,27,30,17,12,29,13,,1
2144,Saturday 19 February 2022,29,24,6,17,32,14,38,,5
2143,Wednesday 16 February 2022,5,40,38,7,34,33,2,,8
2142,Saturday 12 February 2022,15,33,11,8,27,32,7,,2
2141,Wednesday 09 February 2022,34,22,3,35,12,31,18,,2
2140,Saturday 05 February 2022,33,5,11,12,39,22,10,,9
2139,Wednesday 02 February 2022,9,29,25,39,16,32,34,,7
2138,Saturday 29 January 2022,25,19,36,12,29,16,35,,3
2137,Wednesday 26 January 2022,38,25,6,34,15,36,1,,8
2136,Saturday 22 January 2022,11,25,2,13,27,4,40,,5
2135,Wednesday 19 January 2022,11,23,13,2,32,4,17,,7
2134,Saturday 15 January 2022,17,30,21,13,20,34,40,,5
2133,Wednesday 12 January 2022,8,24,20,25,32,13,31,,4
2132,Saturday 08 January 2022,24,38,23,16,15,14,28,,8
2131,Wednesday 05 January 2022,17,32,38,9,15,37,20,,5
2130,Saturday 01 January 2022,23,3,20,19,6,29,21,,9
2129,Wednesday 29 December 2021,39,5,7,13,12,40,2,,1
2128,Saturday 25 December 2021,5,1,3,38,11,12,34,,8
2127,Wednesday 22 December 2021,29,35,18,12,17,36,3,,1
2126,Saturday 18 December 2021,6,13,3,14,4,17,9,,7
2125,Wednesday 15 December 2021,27,29,19,4,23,9,28,,5
2124,Saturday 11 December 2021,34,15,20,36,24,31,28,,1
2123,Wednesday 08 December 2021,32,12,28,10,36,5,37,,4
2122,Saturday 04 December 2021,2,29,21,39,24,9,18,,7
2121,Wednesday 01 December 2021,11,10,31,15,6,28,14,,5
2120,Saturday 27 November 2021,31,20,8,26,37,17,7,,4
2119,Wednesday 24 November 2021,20,4,2,13,6,36,28,,5
2118,Saturday 20 November 2021,24,2,3,17,28,4,8,,3
2117,Wednesday 17 November 2021,34,30,6,39,10,7,20,,9
2116,Saturday 13 November 2021,30,6,18,25,16,39,5,,5
2115,Wednesday 10 November 2021,21,9,18,12,40,37,26,,7
2114,Saturday 06 November 2021,26,18,37,5,20,31,15,,4
2113,Wednesday 03 November 2021,17,10,35,25,33,15,16,,5
2112,Saturday 30 October 2021,5,8,7,17,40,21,39,,8
2111,Wednesday 27 October 2021,28,36,27,31,32,38,9,,9
2110,Saturday 23 October 2021,32,13,21,26,18,12,17,,10
2109,Wednesday 20 October 2021,4,19,3,31,2,7,8,,9
2108,Saturday 16 October 2021,28,7,40,32,2,19,13,,1
2107,Wednesday 13 October 2021,30,39,21,5,19,28,2,,10
2106,Saturday 09 October 2021,28,5,1,33,13,37,25,,10
2105,Wednesday 06 October 2021,22,35,37,32,21,9,28,,5
2104,Saturday 02 October 2021,10,14,8,9,23,38,2,,2
2103,Wednesday 29 September 2021,40,38,12,33,23,25,6,,9
2102,Saturday 25 September 2021,23,40,16,5,33,19,20,,1
2101,Wednesday 22 September 2021,28,23,8,21,11,34,4,,3
2100,Saturday 18 September 2021,32,15,6,18,21,19,23,,1
2099,Wednesday 15 September 2021,24,22,14,19,28,37,23,,9
2098,Saturday 11 September 2021,14,17,35,23,4,21,32,,7
2097,Wednesday 08 September 2021,35,33,27,37,3,36,2,,3
2096,Saturday 04 September 2021,12,33,26,35,10,8,11,,7
2095,Wednesday 01 September 2021,18,30,27,10,25,2,40,,1
2094,Saturday 28 August 2021,22,6,26,29,28,39,25,,4
2093,Wednesday 25 August 2021,29,11,38,34,33,12,23,,3
2092,Saturday 21 August 2021,24,23,4,18,14,12,8,,7
2091,Wednesday 18 August 2021,40,18,32,1,5,23,29,,6
2090,Saturday 14 August 2021,29,23,38,35,10,24,25,,1
2089,Wednesday 11 August 2021,10,7,18,25,29,3,16,,1
2088,Saturday 07 August 2021,13,27,14,9,17,11,5,,5
2087,Wednesday 04 August 2021,30,13,28,34,39,26,1,,3
2086,Saturday 31 July 2021,34,8,40,29,6,23,1,,3
2085,Wednesday 28 July 2021,8,9,30,10,20,6,29,,9
